case:concept:name,concept:name,time:timestamp,org:resource,lifecycle:transition,case:applicant_type,case:priority,cost:amount
case_0001,submitted,2024-01-02 09:00:00-05:00,,complete,new_business,normal,0.0
case_0001,intake_validation,2024-01-03 15:36:02.533107-05:00,clerk_002,complete,new_business,normal,35.93
case_0001,rejected,2024-01-05 09:00:00-05:00,,complete,new_business,normal,0.0
case_0002,submitted,2024-01-02 09:00:00-05:00,,complete,new_business,normal,0.0
case_0002,intake_validation,2024-01-03 13:46:19.573019-05:00,clerk_002,complete,new_business,normal,21.64
case_0002,assigned_to_reviewer,2024-01-05 09:00:00-05:00,,complete,new_business,normal,0.0
case_0002,review_in_progress,2024-01-05 09:06:09.358214-05:00,reviewer_003,complete,new_business,normal,45.32
case_0002,health_inspection,2024-01-10 09:00:00-05:00,inspector_001,complete,new_business,normal,57.36
case_0002,approved,2024-01-16 09:00:00-05:00,,complete,new_business,normal,0.0
case_0003,submitted,2024-01-02 09:00:00-05:00,,complete,renewal,normal,0.0
case_0003,intake_validation,2024-01-04 09:00:00-05:00,clerk_003,complete,renewal,normal,28.06
case_0003,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,renewal,normal,0.0
case_0003,review_in_progress,2024-01-08 09:11:28.173517-05:00,reviewer_001,complete,renewal,normal,29.78
case_0003,health_inspection,2024-01-10 09:00:00-05:00,inspector_002,complete,renewal,normal,40.47
case_0003,rejected,2024-01-16 09:00:00-05:00,,complete,renewal,normal,0.0
case_0004,submitted,2024-01-02 09:00:00-05:00,,complete,new_business,normal,0.0
case_0004,intake_validation,2024-01-04 09:00:00-05:00,clerk_002,complete,new_business,normal,60.83
case_0004,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,new_business,normal,0.0
case_0004,review_in_progress,2024-01-08 09:22:25.844521-05:00,reviewer_004,complete,new_business,normal,50.5
case_0004,health_inspection,2024-01-11 11:32:40.285949-05:00,inspector_003,complete,new_business,normal,53.8
case_0004,approved,2024-01-18 09:00:00-05:00,,complete,new_business,normal,0.0
case_0005,submitted,2024-01-02 09:00:00-05:00,,complete,existing_business,high,0.0
case_0005,intake_validation,2024-01-03 15:21:25.646385-05:00,clerk_002,complete,existing_business,high,48.41
case_0005,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,existing_business,high,0.0
case_0005,review_in_progress,2024-01-08 09:29:56.454153-05:00,reviewer_001,complete,existing_business,high,69.82
case_0005,request_additional_info,2024-01-10 09:00:00-05:00,,complete,existing_business,high,0.0
case_0005,applicant_provided_info,2024-01-16 09:00:00-05:00,,complete,existing_business,high,0.0
case_0005,review_in_progress,2024-01-18 10:31:28.793812-05:00,reviewer_004,complete,existing_business,high,10.74
case_0005,request_additional_info,2024-01-23 09:00:00-05:00,,complete,existing_business,high,0.0
case_0005,applicant_provided_info,2024-01-29 09:00:00-05:00,,complete,existing_business,high,0.0
case_0005,review_in_progress,2024-01-31 15:24:13.696412-05:00,reviewer_001,complete,existing_business,high,42.74
case_0005,request_additional_info,2024-02-05 09:00:00-05:00,,complete,existing_business,high,0.0
case_0005,applicant_provided_info,2024-02-12 09:00:00-05:00,,complete,existing_business,high,0.0
case_0005,review_in_progress,2024-02-15 09:00:00-05:00,reviewer_004,complete,existing_business,high,58.68
case_0005,health_inspection,2024-02-20 09:00:00-05:00,inspector_003,complete,existing_business,high,40.82
case_0005,approved,2024-02-26 09:00:00-05:00,,complete,existing_business,high,0.0
